FoodItem,MealType,Calories,Nutrients
Oatmeal,Breakfast,150,"Carbs, Fiber"
Pancakes,Breakfast,300,"Carbs, Protein"
Eggs,Breakfast,250,"Protein, Fat"
Chicken Salad,Lunch,400,"Protein, Veggies"
Grilled Cheese Sandwich,Lunch,350,"Carbs, Protein"
Salmon,Dinner,600,"Protein, Omega-3"
Steak,Dinner,700,"Protein, Fat"
Vegetable Stir Fry,Dinner,500,"Veggies, Protein"
Spaghetti,Lunch,450,"Carbs, Protein"
Tacos,Lunch,500,"Protein, Carbs"
Smoothie,Breakfast,200,"Carbs, Protein"
Toast,Breakfast,100,Carbs
Soup,Lunch,300,"Protein, Veggies"
Burger,Lunch,650,"Protein, Carbs"
Sushi,Dinner,350,"Protein, Omega-3"
Pizza,Dinner,800,"Carbs, Protein"
Fried Rice,Dinner,450,"Carbs, Protein"
Pasta,Dinner,550,"Carbs, Protein"
Salad,Lunch,150,"Veggies, Protein"
Fruit Bowl,Breakfast,100,"Carbs, Fiber"
Oatmeal,Breakfast,150,"Carbs, Fiber"
Pancakes,Breakfast,300,"Carbs, Protein"
Eggs,Breakfast,250,"Protein, Fat"
Chicken Salad,Lunch,400,"Protein, Veggies"
Grilled Cheese Sandwich,Lunch,350,"Carbs, Protein"
Salmon,Dinner,600,"Protein, Omega-3"
Steak,Dinner,700,"Protein, Fat"
Vegetable Stir Fry,Dinner,500,"Veggies, Protein"
Spaghetti,Lunch,450,"Carbs, Protein"
Tacos,Lunch,500,"Protein, Carbs"
Smoothie,Breakfast,200,"Carbs, Protein"
Toast,Breakfast,100,Carbs
Soup,Lunch,300,"Protein, Veggies"
Burger,Lunch,650,"Protein, Carbs"
Sushi,Dinner,350,"Protein, Omega-3"
Pizza,Dinner,800,"Carbs, Protein"
Fried Rice,Dinner,450,"Carbs, Protein"
Pasta,Dinner,550,"Carbs, Protein"
Salad,Lunch,150,"Veggies, Protein"
Fruit Bowl,Breakfast,100,"Carbs, Fiber"
Oatmeal,Breakfast,150,"Carbs, Fiber"
Pancakes,Breakfast,300,"Carbs, Protein"
Eggs,Breakfast,250,"Protein, Fat"
Chicken Salad,Lunch,400,"Protein, Veggies"
Grilled Cheese Sandwich,Lunch,350,"Carbs, Protein"
Salmon,Dinner,600,"Protein, Omega-3"
Steak,Dinner,700,"Protein, Fat"
Vegetable Stir Fry,Dinner,500,"Veggies, Protein"
Spaghetti,Lunch,450,"Carbs, Protein"
Tacos,Lunch,500,"Protein, Carbs"
Smoothie,Breakfast,200,"Carbs, Protein"
Toast,Breakfast,100,Carbs
Soup,Lunch,300,"Protein, Veggies"
Burger,Lunch,650,"Protein, Carbs"
Sushi,Dinner,350,"Protein, Omega-3"
Pizza,Dinner,800,"Carbs, Protein"
Fried Rice,Dinner,450,"Carbs, Protein"
Pasta,Dinner,550,"Carbs, Protein"
Salad,Lunch,150,"Veggies, Protein"
Fruit Bowl,Breakfast,100,"Carbs, Fiber"
Oatmeal,Breakfast,150,"Carbs, Fiber"
Pancakes,Breakfast,300,"Carbs, Protein"
Eggs,Breakfast,250,"Protein, Fat"
Chicken Salad,Lunch,400,"Protein, Veggies"
Grilled Cheese Sandwich,Lunch,350,"Carbs, Protein"
Salmon,Dinner,600,"Protein, Omega-3"
Steak,Dinner,700,"Protein, Fat"
Vegetable Stir Fry,Dinner,500,"Veggies, Protein"
Spaghetti,Lunch,450,"Carbs, Protein"
Tacos,Lunch,500,"Protein, Carbs"
Smoothie,Breakfast,200,"Carbs, Protein"
Toast,Breakfast,100,Carbs
Soup,Lunch,300,"Protein, Veggies"
Burger,Lunch,650,"Protein, Carbs"
Sushi,Dinner,350,"Protein, Omega-3"
Pizza,Dinner,800,"Carbs, Protein"
Fried Rice,Dinner,450,"Carbs, Protein"
Pasta,Dinner,550,"Carbs, Protein"
Salad,Lunch,150,"Veggies, Protein"
Fruit Bowl,Breakfast,100,"Carbs, Fiber"
Oatmeal,Breakfast,150,"Carbs, Fiber"
Pancakes,Breakfast,300,"Carbs, Protein"
Eggs,Breakfast,250,"Protein, Fat"
Chicken Salad,Lunch,400,"Protein, Veggies"
Grilled Cheese Sandwich,Lunch,350,"Carbs, Protein"
Salmon,Dinner,600,"Protein, Omega-3"
Steak,Dinner,700,"Protein, Fat"
Vegetable Stir Fry,Dinner,500,"Veggies, Protein"
Spaghetti,Lunch,450,"Carbs, Protein"
Tacos,Lunch,500,"Protein, Carbs"
Smoothie,Breakfast,200,"Carbs, Protein"
Toast,Breakfast,100,Carbs
Soup,Lunch,300,"Protein, Veggies"
Burger,Lunch,650,"Protein, Carbs"
Sushi,Dinner,350,"Protein, Omega-3"
Pizza,Dinner,800,"Carbs, Protein"
Fried Rice,Dinner,450,"Carbs, Protein"
Pasta,Dinner,550,"Carbs, Protein"
Salad,Lunch,150,"Veggies, Protein"
Fruit Bowl,Breakfast,100,"Carbs, Fiber"
